Zone_ID,Temperature_C,Soil_Humidity_pct,Soil_Moisture_pct,Air_Humidity_pct,Pressure_kPa,pH,Rainfall_mm,Soil_Type,Soil_EC_dS_m,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Applied_Fertilizer,Urea_kg_ha,TSP_kg_ha,MOP_kg_ha,Sensor_Glitch_Flag,Growing_Condition
Zone_20,29.25,35.09,22.71,49.44,101.03,5.74,45.25,Sandy Soil,0.553,28.09,25.86,29.38,MOP,10.94,9.37,44.09,No,Warning
Zone_01,30.48,70.0,61.64,58.16,101.24,6.69,130.93,Clay Soil,1.076,55.24,34.13,51.97,Urea,76.62,5.97,5.96,No,Optimal
Zone_02,28.23,67.87,67.53,64.16,100.71,6.43,111.14,Alluvial Soil,0.965,41.24,63.0,60.06,None,0.0,0.0,0.0,No,Optimal
Zone_03,18.55,38.61,16.01,56.12,101.21,6.34,43.61,Sandy Soil,0.846,47.01,35.11,34.98,Urea,90.93,4.27,0.25,No,Optimal
Zone_04,34.22,66.78,51.28,58.76,101.36,5.79,104.54,Clay Soil,1.582,43.12,40.87,85.48,14-35-14,35.19,43.35,30.23,No,Optimal
Zone_05,36.12,52.22,27.98,60.26,101.04,5.76,95.18,Red Soil,0.584,45.31,20.8,28.19,MOP,6.94,3.94,36.23,No,Warning
Zone_06,36.15,38.41,30.93,63.78,100.99,7.05,144.4,Sandy Soil,0.625,26.87,37.39,36.42,10-26-26,26.67,31.46,49.39,No,Optimal
Zone_07,20.27,68.2,65.22,75.9,101.36,6.36,156.18,Loam Soil,0.736,63.63,30.7,46.7,14-35-14,26.45,31.58,33.49,No,Optimal
Zone_08,31.54,65.61,53.38,49.84,101.55,6.76,61.48,Clay Soil,1.262,60.28,30.05,53.83,Urea,94.27,10.01,7.7,No,Optimal
Zone_09,27.42,58.53,45.39,76.73,101.17,6.33,110.96,Alluvial Soil,0.609,53.6,28.94,56.82,28-28,64.55,39.94,29.16,No,Optimal
Zone_10,24.76,50.3,27.55,53.05,101.43,6.47,33.03,Red Soil,0.468,46.19,31.35,39.11,10-26-26,39.62,37.64,45.48,No,Optimal
Zone_11,32.14,67.09,59.12,61.82,101.14,7.02,126.94,Clay Soil,1.426,56.94,32.98,53.68,14-35-14,47.74,33.86,36.55,No,Optimal
Zone_12,28.54,38.05,21.9,49.21,101.06,5.62,102.72,Sandy Soil,0.426,40.26,5,27.42,10-26-26,47.09,24.77,39.75,No,Warning
Zone_13,28.63,66.98,69.97,65.84,101.09,6.29,170.76,Alluvial Soil,0.735,66.09,47.51,77.96,Urea,80.2,11.61,6.04,No,Optimal
Zone_14,28.88,37.14,21.64,48.2,101.06,6.23,50.18,Sandy Soil,0.2,26.12,26.95,24.05,MOP,6.09,3.72,35.01,No,Warning
Zone_15,31.29,57.28,40.66,65.44,101.23,6.94,125.67,Loam Soil,1.081,72.44,40.02,52.75,20-20,55.2,21.66,33.22,No,Optimal
Zone_16,30.43,56.66,41.04,53.71,101.15,6.53,58.94,Clay Soil,1.33,43.54,32.35,69.64,10-26-26,29.02,29.04,41.96,No,Optimal
Zone_17,36.37,46.81,25.47,56.7,101.01,6.45,79.55,Sandy Soil,0.6,35.98,36.41,36.58,Urea,80.09,8.85,3.73,No,Optimal
Zone_18,30.75,56.73,45.93,64.38,101.35,6.65,123.54,Loam Soil,0.763,78.96,56.51,53.48,17-17-17,49.24,20.11,38.12,No,Optimal
Zone_19,29.08,62.71,54.26,65.31,100.72,0.0,93.69,Clay Soil,1.019,74.37,40.4,48.44,14-35-14,34.44,37.73,28.81,Spike,Optimal
Zone_20,19.67,56.46,44.91,55.13,101.01,6.78,54.89,Alluvial Soil,1.049,55.12,54.47,62.07,DAP,38.69,48.12,4.1,No,Optimal
Zone_01,25.27,57.07,37.15,76.48,101.15,6.79,123.36,Sandy Soil,0.692,20.16,27.68,34.15,MOP,0.87,3.11,50.05,No,Optimal
Zone_02,16.2,55.64,43.23,57.72,101.35,7.12,50.6,Alluvial Soil,1.224,70.03,36.01,39.34,20-20,62.68,30.91,41.84,No,Optimal
Zone_03,32.49,58.25,49.96,68.59,101.01,5.59,166.45,Sandy Soil,0.43,40.9,19.89,18.14,Urea,85.62,11.45,6.15,No,Optimal
Zone_04,26.19,47.85,26.76,53.15,101.17,6.78,27.65,Alluvial Soil,0.887,68.64,47.61,59.19,17-17-17,52.71,24.08,41.32,No,Optimal
Zone_05,31.74,0.0,8.76,64.54,101.34,5.93,70.48,Sandy Soil,0.667,31.38,29.12,37.98,17-17-17,49.94,24.67,38.63,Spike,Warning
Zone_06,35.93,62.8,53.04,58.89,101.75,6.62,103.28,Clay Soil,1.057,68.08,36.16,51.86,None,0.0,0.0,0.0,No,Optimal
Zone_07,23.16,49.22,34.07,53.56,101.31,5.54,32.61,Red Soil,1.109,25.28,14.17,44.34,20-20,69.0,28.12,33.28,No,Optimal
Zone_08,25.82,50.37,35.65,59.23,101.2,5.97,61.14,Alluvial Soil,0.872,58.37,44.37,55.14,Urea,98.64,10.78,0.99,No,Optimal
Zone_09,29.93,70.0,73.81,77.61,101.12,7.31,193.84,Black Soil,1.612,58.25,49.73,56.91,DAP,25.78,34.94,5.2,No,Optimal
Zone_10,31.44,44.95,28.07,52.99,101.21,7.67,76.62,Chalky Soil,0.619,57.73,34.28,32.65,Urea,61.5,3.82,5.0,No,Optimal
Zone_11,29.28,44.13,25.81,61.45,101.46,6.23,79.71,Sandy Soil,0.226,22.25,21.99,17.31,Urea,58.83,1.1,6.12,No,Warning
Zone_12,26.75,70.0,66.18,80.8,100.77,6.41,206.13,Loam Soil,1.015,73.18,42.68,51.86,20-20,56.28,21.06,40.58,No,Optimal
Zone_13,24.89,70.0,72.08,72.74,101.28,7.3,178.63,Black Soil,0.82,64.97,38.65,65.23,MOP,8.79,6.77,41.51,No,Optimal
Zone_14,26.94,66.88,72.59,82.78,101.15,6.69,235.37,Alluvial Soil,0.874,60.41,49.17,76.28,17-17-17,67.51,21.15,41.97,No,Optimal
Zone_15,24.07,62.14,59.25,70.49,101.33,6.79,132.08,Loam Soil,1.06,85.88,47.83,60.17,Urea,69.32,8.95,0.84,No,Optimal
Zone_16,25.76,45.48,37.68,51.94,101.58,6.83,39.78,Black Soil,1.745,55.55,36.43,47.28,17-17-17,67.23,26.98,36.63,No,Optimal
Zone_17,32.73,45.33,24.24,48.76,101.24,6.73,42.71,Alluvial Soil,1.16,62.48,47.5,65.42,20-20,67.84,28.97,30.16,No,Optimal
Zone_18,29.42,41.32,33.26,59.05,100.77,5.95,109.08,Red Soil,0.577,30.65,23.4,49.0,None,0.0,0.0,0.0,No,Optimal
Zone_19,24.25,64.11,44.6,68.18,100.69,6.79,96.18,Clay Soil,0.771,40.67,38.09,62.91,None,0.0,0.0,0.0,No,Optimal
Zone_20,22.21,35.38,16.02,63.43,101.5,6.09,59.26,Sandy Soil,0.472,26.81,16.76,24.58,None,0.0,0.0,0.0,No,Warning
Zone_01,23.98,56.11,42.81,63.05,101.16,6.43,69.36,Clay Soil,0.724,27.67,31.92,66.23,Urea,93.26,3.43,8.5,No,Optimal
Zone_02,30.42,59.41,49.56,60.5,101.14,7.16,96.83,Black Soil,1.603,67.84,53.74,89.41,DAP,20.05,37.57,9.84,No,Optimal
Zone_03,32.98,65.63,54.31,57.73,100.88,6.45,120.76,Clayey Soil,1.066,64.78,32.85,55.43,MOP,2.15,6.29,54.39,No,Optimal
Zone_04,29.7,52.58,29.53,51.35,101.32,6.79,21.39,Loam Soil,0.752,60.02,38.18,39.81,Urea,66.93,7.06,5.32,No,Optimal
Zone_05,21.35,54.86,51.66,77.28,101.17,6.36,169.94,Loam Soil,0.931,53.5,42.92,59.3,Urea,99.29,3.07,1.43,No,Optimal
Zone_06,26.74,58.4,45.16,54.55,101.36,6.45,37.36,Alluvial Soil,0.425,47.03,47.79,81.27,MOP,6.29,4.32,38.99,No,Optimal
Zone_07,29.42,66.49,73.75,74.22,101.14,7.39,181.27,Black Soil,1.164,66.15,47.18,44.73,17-17-17,46.83,32.89,36.38,No,Optimal
Zone_08,27.61,66.18,55.23,66.57,101.13,7.57,98.09,Black Soil,1.335,61.47,29.43,73.17,Urea,78.2,4.36,2.44,No,Optimal
Zone_09,28.08,61.79,49.72,44.21,101.62,6.86,60.39,Alluvial Soil,0.619,74.67,32.52,65.61,17-17-17,52.59,24.69,27.32,No,Optimal
Zone_10,25.55,32.12,11.74,47.72,100.95,7.04,48.01,Sandy Soil,0.746,54.8,19.0,30.6,Urea,86.04,5.89,6.28,No,Optimal
Zone_11,28.43,52.57,28.46,47.12,100.89,7.37,20.57,Alluvial Soil,0.945,59.36,54.41,78.35,Urea,61.29,3.76,6.54,No,Optimal
Zone_12,17.22,70.0,80.99,84.36,100.93,6.54,222.91,Alluvial Soil,1.094,85.91,28.91,61.64,17-17-17,38.32,29.56,31.1,No,Warning
Zone_13,30.5,33.46,20.94,54.79,101.14,6.22,53.52,Red Soil,0.932,33.26,31.29,60.65,20-20,57.99,33.83,34.24,No,Optimal
Zone_14,15.92,70.0,75.93,83.49,101.12,6.63,218.96,Loam Soil,0.578,65.21,27.08,48.25,None,0.0,0.0,0.0,No,Optimal
Zone_15,28.55,70.0,59.11,62.24,101.19,8.03,171.86,Black Soil,1.079,68.89,37.84,70.54,MOP,6.2,9.11,47.04,No,Optimal
Zone_16,26.72,70.0,84.33,72.92,101.31,7.31,190.2,Clay Soil,1.387,43.73,25.23,72.55,DAP,36.21,46.88,5.71,No,Optimal
Zone_17,22.11,49.03,29.68,65.03,101.06,5.47,83.51,Sandy Soil,0.686,36.85,15.88,25.71,17-17-17,40.91,22.47,32.4,No,Warning
Zone_18,26.8,64.45,54.48,56.56,101.32,6.13,109.22,Clay Soil,1.764,50.43,46.45,59.01,10-26-26,32.07,35.43,40.59,No,Optimal
Zone_19,31.64,54.77,46.19,56.9,101.19,7.13,102.48,Chalky Soil,1.164,20.79,24.96,55.46,Urea,85.36,0.42,7.25,No,Optimal
Zone_20,35.45,38.4,24.21,58.56,95.0,6.52,113.55,Sandy Soil,0.843,38.64,25.66,22.31,MOP,7.14,1.82,43.69,Spike,Optimal
Zone_01,33.58,41.25,20.82,45.23,100.99,5.74,36.21,Red Soil,1.024,30.42,30.01,44.94,17-17-17,35.14,27.99,42.34,No,Optimal
Zone_02,20.52,41.92,27.2,62.34,101.22,6.07,97.69,Sandy Soil,0.414,12.46,18.74,34.51,None,0.0,0.0,0.0,No,Warning
Zone_03,30.95,51.25,46.88,63.6,101.13,6.66,89.62,Loam Soil,0.781,45.77,35.06,57.07,MOP,5.43,5.91,54.84,No,Optimal
Zone_04,22.97,48.58,24.38,46.01,101.28,6.33,22.01,Clay Soil,1.217,58.33,43.8,50.67,17-17-17,47.01,32.03,43.36,No,Optimal
Zone_05,35.39,39.9,10.01,45.07,100.95,6.36,25.41,Sandy Soil,0.854,20.07,28.78,33.96,MOP,3.82,9.61,48.07,No,Warning
Zone_06,27.67,64.59,57.56,65.82,101.2,6.54,96.43,Clay Soil,0.954,47.08,49.35,52.38,DAP,32.98,28.82,3.96,No,Optimal
Zone_07,29.52,32.69,25.89,51.71,101.37,6.71,78.74,Sandy Soil,0.682,35.0,22.04,37.3,DAP,15.37,26.42,5.3,No,Optimal
Zone_08,32.44,66.24,53.26,66.3,100.87,6.31,111.74,Loam Soil,0.771,62.03,47.78,46.36,None,0.0,0.0,0.0,No,Optimal
Zone_09,16.52,64.92,56.01,62.55,101.39,6.28,74.92,Clay Soil,1.056,39.36,45.33,59.8,17-17-17,58.36,21.42,36.34,No,Optimal
Zone_10,27.34,32.73,18.74,54.72,101.27,5.88,57.21,Sandy Soil,0.645,40.96,21.33,52.82,DAP,38.47,39.41,0.81,No,Optimal
Zone_11,22.92,40.94,27.69,62.49,101.0,6.36,111.36,Sandy Soil,0.8,47.28,44.78,37.67,Urea,79.61,6.01,6.44,No,Optimal
Zone_12,32.03,46.52,25.58,52.67,101.27,6.61,39.99,Loam Soil,0.645,45.4,31.37,30.31,14-35-14,34.59,40.52,28.67,No,Optimal
Zone_13,34.6,53.36,44.52,58.65,101.02,6.35,110.71,Red Soil,0.612,33.21,37.1,22.67,14-35-14,50.29,35.28,29.58,No,Warning
Zone_14,24.25,54.41,35.35,56.35,101.04,6.6,45.9,Black Soil,1.676,51.37,49.44,44.75,DAP,38.62,48.28,3.29,No,Optimal
Zone_15,29.5,61.71,48.59,52.97,101.24,7.33,26.95,Black Soil,1.423,47.59,35.57,38.98,None,0.0,0.0,0.0,No,Optimal
Zone_16,24.32,56.48,48.03,68.7,100.79,7.03,131.81,Alluvial Soil,1.392,65.74,38.11,59.61,DAP,22.43,44.76,10.94,No,Optimal
Zone_17,34.18,70.0,72.29,83.89,101.48,7.19,189.16,Alluvial Soil,0.711,59.06,36.64,48.21,17-17-17,43.64,32.56,31.64,No,Optimal
Zone_18,38.59,59.42,34.9,46.28,101.03,6.13,51.86,Black Soil,1.197,86.83,32.73,63.09,Urea,68.2,1.94,1.55,Frozen,Warning
Zone_19,17.71,37.27,23.11,43.93,101.04,6.06,29.29,Sandy Soil,0.403,50.21,11.37,30.21,MOP,8.74,8.0,30.61,No,Warning
Zone_20,25.58,63.57,47.84,72.39,101.0,6.39,119.46,Clayey Soil,0.863,59.83,35.97,80.7,MOP,6.3,9.63,35.83,No,Optimal
Zone_01,25.04,70.0,83.65,78.03,101.27,6.64,187.75,Clayey Soil,1.07,66.46,47.47,62.83,14-35-14,41.62,36.43,21.89,No,Optimal
Zone_02,25.8,53.59,45.06,51.13,101.14,6.05,69.38,Loam Soil,0.756,78.59,40.83,63.71,None,0.0,0.0,0.0,No,Optimal
Zone_03,28.65,55.07,49.91,60.08,101.33,6.17,140.1,Red Soil,1.208,34.89,40.93,34.37,10-26-26,39.9,22.66,46.04,No,Optimal
Zone_04,26.05,68.29,74.25,80.71,101.17,6.92,177.91,Loam Soil,0.93,57.67,33.91,30.22,Urea,75.43,0.77,0.09,No,Optimal
Zone_05,30.61,46.74,30.67,45.02,101.19,6.07,20.52,Loam Soil,0.398,79.82,59.89,54.44,DAP,31.04,34.69,7.75,No,Optimal
Zone_06,27.14,44.53,33.61,53.32,101.24,6.63,52.32,Loam Soil,1.165,59.67,47.86,31.44,Urea,95.26,2.96,4.32,No,Optimal
Zone_07,31.96,60.01,47.05,58.52,101.18,7.54,86.88,Black Soil,1.134,58.33,34.04,43.46,Urea,84.76,10.11,5.89,No,Optimal
Zone_08,27.59,47.93,32.17,53.82,101.15,6.89,55.17,Loam Soil,0.69,55.41,31.3,56.18,10-26-26,31.29,27.06,30.45,No,Optimal
Zone_09,31.87,61.71,45.55,53.25,101.43,6.53,57.66,Alluvial Soil,1.318,52.26,70.41,63.32,14-35-14,47.57,37.1,21.54,No,Optimal
Zone_10,34.22,54.05,43.67,48.48,101.07,7.07,51.54,Alluvial Soil,1.494,55.66,55.21,55.04,14-35-14,33.65,43.78,31.41,No,Optimal
Zone_11,27.12,47.36,31.71,53.1,101.08,6.24,27.38,Loam Soil,0.647,61.34,45.33,64.17,None,0.0,0.0,0.0,No,Optimal
Zone_12,28.2,43.51,17.28,62.66,101.33,6.36,51.76,Sandy Soil,0.403,18.41,52.83,21.09,None,0.0,0.0,0.0,No,Warning
Zone_13,27.74,66.29,43.67,50.39,100.76,6.48,51.16,Clay Soil,1.107,60.41,36.33,51.47,17-17-17,50.99,24.18,38.27,No,Optimal
Zone_14,34.9,37.68,17.16,45.87,101.21,5.86,89.47,Sandy Soil,1.04,49.32,31.66,25.8,Urea,59.31,7.77,8.32,No,Warning
Zone_15,24.75,54.87,34.2,60.47,101.12,6.96,34.4,Alluvial Soil,1.081,49.2,49.15,57.8,17-17-17,52.3,20.89,38.13,No,Optimal
Zone_16,32.05,42.75,30.5,37.41,101.06,5.79,28.71,Red Soil,0.48,29.15,35.0,45.84,MOP,3.01,7.05,39.0,No,Optimal
Zone_17,23.87,40.02,25.1,52.62,101.65,8.06,65.58,Chalky Soil,0.862,45.81,29.93,51.48,14-35-14,30.47,40.97,32.64,No,Optimal
Zone_18,19.43,48.8,29.31,68.35,100.93,7.75,107.73,Chalky Soil,1.159,37.25,15.7,45.62,14-35-14,54.32,28.25,21.0,No,Warning
Zone_19,31.89,47.31,30.35,43.38,100.79,7.49,25.05,Black Soil,0.684,96.63,46.28,67.25,17-17-17,39.82,29.45,29.93,No,Optimal
Zone_20,24.62,53.73,47.56,65.38,101.18,7.6,103.55,Black Soil,1.315,83.33,15.56,36.13,None,0.0,0.0,0.0,No,Optimal
Zone_01,24.08,61.54,54.42,56.17,100.6,6.73,96.33,Clayey Soil,0.822,64.21,23.59,65.24,None,0.0,0.0,0.0,No,Optimal
Zone_02,32.44,62.63,51.31,64.95,100.84,6.82,142.71,Alluvial Soil,1.097,59.82,44.52,58.15,20-20,39.84,23.91,28.75,No,Optimal
Zone_03,29.01,40.3,15.44,54.07,101.35,7.18,500.0,Chalky Soil,0.962,25.06,24.97,36.78,DAP,22.58,45.43,1.07,Spike,Warning
Zone_04,30.56,65.25,52.21,53.22,101.19,6.99,25.2,Clay Soil,1.355,67.17,35.72,62.4,10-26-26,22.61,29.79,34.21,No,Optimal
Zone_05,18.61,46.91,29.11,63.78,101.27,5.57,32.85,Loam Soil,0.724,44.32,43.84,57.45,None,0.0,0.0,0.0,No,Optimal
Zone_06,37.42,59.55,35.65,55.82,100.68,6.64,98.66,Clay Soil,1.326,33.48,46.74,76.23,None,0.0,0.0,0.0,No,Optimal
Zone_07,24.76,52.44,43.68,55.2,100.94,6.9,42.01,Alluvial Soil,0.825,67.22,55.45,47.02,Urea,68.92,6.72,4.7,No,Optimal
Zone_08,30.13,36.6,32.28,53.88,101.16,6.2,89.57,Sandy Soil,0.872,34.69,22.91,27.23,20-20,42.2,21.9,24.67,No,Warning
Zone_09,29.78,60.8,56.75,66.39,101.34,6.2,118.28,Loam Soil,0.841,65.23,42.63,48.67,DAP,27.85,35.99,4.88,No,Optimal
Zone_10,20.11,60.39,51.68,63.02,101.16,6.26,110.71,Loam Soil,1.141,64.18,50.78,37.08,17-17-17,55.09,29.63,38.86,No,Optimal
Zone_11,30.58,69.27,59.48,50.06,100.88,6.44,96.91,Black Soil,1.215,63.69,46.53,64.11,MOP,10.82,9.9,36.34,No,Optimal
Zone_12,31.16,37.99,26.49,49.5,100.97,5.89,52.42,Sandy Soil,0.703,36.69,42.49,34.36,MOP,9.49,1.79,38.26,No,Optimal
Zone_13,27.08,35.99,18.02,42.24,101.05,7.83,29.61,Chalky Soil,1.007,35.73,15.74,33.07,10-26-26,27.23,34.06,43.61,No,Warning
Zone_14,28.35,46.96,34.04,52.51,100.81,6.9,73.16,Loam Soil,0.969,60.81,35.7,50.61,DAP,23.26,49.8,1.19,No,Optimal
Zone_15,25.35,53.39,49.75,65.0,101.43,7.42,123.33,Chalky Soil,0.863,28.55,17.51,34.98,None,0.0,0.0,0.0,No,Optimal
Zone_16,17.99,58.82,47.15,45.64,101.16,6.07,20.46,Clay Soil,1.028,58.1,34.82,72.5,17-17-17,64.94,30.34,38.64,No,Optimal
Zone_17,27.97,56.44,37.14,53.06,100.74,7.28,53.06,Black Soil,1.75,62.63,50.59,67.75,None,0.0,0.0,0.0,No,Optimal
Zone_18,28.29,70.0,69.29,71.51,100.96,6.93,182.24,Clay Soil,1.2,56.38,35.1,70.54,14-35-14,28.24,39.79,25.71,No,Optimal
Zone_19,32.41,44.01,19.23,51.01,101.21,6.21,38.47,Sandy Soil,0.655,44.43,13.04,19.71,14-35-14,32.02,40.2,31.39,No,Warning
Zone_20,27.63,40.43,23.4,57.22,100.99,6.93,59.14,Sandy Soil,0.62,34.43,31.41,44.05,14-35-14,34.17,30.94,33.87,No,Optimal
Zone_01,29.02,53.58,37.75,49.92,101.22,6.59,42.07,Black Soil,1.323,80.57,45.46,70.38,MOP,4.56,3.38,32.15,No,Optimal
Zone_02,20.38,49.91,32.49,67.3,101.02,6.07,85.36,Red Soil,0.775,31.12,34.43,49.43,17-17-17,48.36,24.76,37.44,No,Optimal
Zone_03,19.55,38.1,17.54,61.69,101.29,6.42,51.34,Sandy Soil,0.504,44.45,9.61,23.36,14-35-14,54.39,40.7,21.97,No,Critical
Zone_04,24.82,56.85,33.88,47.78,101.29,6.59,35.23,Loam Soil,0.716,62.59,38.65,37.72,14-35-14,43.77,40.16,26.46,No,Optimal
Zone_05,30.61,40.24,32.77,54.98,101.24,6.68,105.04,Sandy Soil,0.597,36.05,27.94,13.14,17-17-17,40.62,27.14,33.2,No,Warning
Zone_06,29.99,65.39,52.99,63.18,100.84,6.64,121.12,Black Soil,0.754,61.77,63.2,68.76,None,0.0,0.0,0.0,No,Optimal
Zone_07,18.82,51.79,35.81,59.52,101.41,6.68,55.7,Alluvial Soil,1.038,57.46,59.52,49.4,20-20,57.43,31.66,37.86,No,Optimal
Zone_08,23.64,43.36,45.76,68.04,101.07,6.7,158.41,Sandy Soil,0.7,52.95,27.33,24.35,17-17-17,63.97,27.33,30.79,No,Optimal
Zone_09,27.22,39.88,34.87,68.26,101.11,5.68,134.13,Sandy Soil,0.328,38.9,27.14,19.91,None,0.0,0.0,0.0,No,Optimal
Zone_10,24.9,52.82,40.01,55.44,101.22,5.93,70.51,Red Soil,0.825,30.03,23.29,29.6,10-26-26,25.62,35.77,31.67,No,Warning
Zone_11,21.32,60.54,49.24,50.06,101.09,7.36,43.7,Clayey Soil,1.007,64.01,34.3,65.53,10-26-26,35.12,37.73,49.36,Frozen,Optimal
Zone_12,22.92,52.87,31.77,50.06,101.29,6.29,34.73,Loam Soil,0.922,57.13,42.1,55.94,20-20,58.05,34.93,34.56,No,Optimal
Zone_13,20.33,59.77,46.09,57.94,101.2,6.84,24.59,Clay Soil,0.826,42.67,26.72,72.18,MOP,4.7,4.94,43.66,No,Optimal
Zone_14,24.19,33.13,19.38,49.21,100.99,5.98,37.99,Sandy Soil,0.969,37.71,27.66,23.1,DAP,28.07,37.54,10.98,Frozen,Optimal
Zone_15,33.2,48.09,29.8,47.48,101.2,6.91,26.79,Black Soil,1.372,79.75,42.3,61.08,20-20,54.85,24.91,35.78,No,Optimal
Zone_16,23.68,59.69,48.68,59.96,100.99,6.81,73.7,Clayey Soil,0.906,63.8,41.29,56.52,MOP,5.82,1.14,30.95,No,Optimal
Zone_17,25.58,55.76,41.27,92.73,101.34,6.37,200.92,Sandy Soil,0.575,29.67,29.17,28.89,10-26-26,42.24,35.01,37.13,No,Warning
Zone_18,29.15,59.45,30.48,54.66,101.01,6.46,35.91,Clay Soil,1.384,55.65,11.25,62.16,17-17-17,45.84,27.65,41.43,No,Optimal
Zone_19,33.55,55.49,46.39,60.92,100.89,6.89,119.67,Black Soil,0.819,45.07,35.33,72.63,28-28,47.44,39.03,19.03,No,Optimal
Zone_20,27.87,67.13,70.1,57.67,101.21,7.01,176.86,Alluvial Soil,1.376,71.85,38.35,38.87,28-28,78.1,28.4,16.23,No,Optimal
Zone_01,26.38,70.0,71.5,59.47,100.78,6.7,128.82,Clay Soil,1.374,40.46,30.59,62.28,17-17-17,60.03,29.58,29.55,No,Optimal
Zone_02,32.54,64.86,49.76,58.7,101.12,6.76,89.24,Clay Soil,1.355,73.17,40.53,63.51,MOP,11.43,0.82,50.81,No,Optimal
Zone_03,29.51,68.24,65.92,63.46,101.29,6.92,103.95,Clayey Soil,0.857,56.23,25.18,52.67,20-20,47.37,21.79,31.34,No,Optimal
Zone_04,26.24,70.0,90.0,82.23,101.22,6.69,219.78,Clay Soil,0.909,39.57,46.13,44.47,10-26-26,21.28,22.0,34.95,No,Warning
Zone_05,19.36,51.39,42.54,63.75,101.37,6.57,43.64,Alluvial Soil,0.724,56.25,52.82,45.74,28-28,72.64,26.29,25.34,No,Optimal
Zone_06,28.66,48.64,34.83,58.6,100.92,6.84,61.1,Loam Soil,1.576,62.43,38.35,45.97,17-17-17,42.34,30.93,33.82,No,Optimal
Zone_07,27.22,70.0,86.92,80.02,100.79,7.39,191.82,Black Soil,1.085,50.31,43.55,66.8,DAP,17.45,27.32,5.9,No,Optimal
Zone_08,30.57,32.9,21.16,49.62,101.18,5.57,42.38,Sandy Soil,0.479,29.85,22.45,24.95,MOP,3.44,9.23,30.13,No,Warning
Zone_09,28.35,45.85,37.81,55.19,101.02,5.59,53.15,Loam Soil,1.084,76.72,33.04,38.05,14-35-14,36.16,30.97,29.2,No,Optimal
Zone_10,25.57,42.04,33.76,63.86,101.03,6.54,105.61,Sandy Soil,0.672,27.21,35.92,26.07,None,0.0,0.0,0.0,No,Optimal
Zone_11,33.91,67.77,48.32,64.55,101.25,7.05,114.57,Clayey Soil,1.587,50.51,36.23,65.79,10-26-26,22.5,29.68,31.97,No,Optimal
Zone_12,25.75,58.93,49.49,53.0,101.21,6.85,49.32,Clay Soil,1.247,47.19,41.3,69.59,MOP,10.84,3.48,39.63,No,Optimal
Zone_13,31.6,48.42,36.54,59.7,100.99,6.06,92.89,Red Soil,0.425,44.44,40.62,57.61,MOP,10.58,9.45,30.0,No,Optimal
Zone_14,31.92,46.19,28.36,47.91,101.37,5.06,46.0,Red Soil,1.225,36.39,22.48,45.39,20-20,60.87,28.81,34.55,No,Optimal
Zone_15,28.14,51.16,42.71,48.47,100.98,6.69,83.25,Loam Soil,1.372,39.66,29.12,47.67,MOP,1.54,4.68,49.48,Frozen,Optimal
Zone_16,25.38,53.94,38.33,51.96,101.14,6.46,53.28,Clayey Soil,1.351,46.31,38.77,60.5,MOP,6.48,1.38,36.45,No,Optimal
Zone_17,30.53,29.52,10.55,50.43,101.09,6.66,24.88,Sandy Soil,0.542,38.4,34.55,22.83,20-20,45.55,22.7,26.6,No,Optimal
Zone_18,29.44,47.35,33.7,49.98,101.22,6.38,63.39,Loam Soil,0.377,71.21,60.59,41.24,None,0.0,0.0,0.0,No,Optimal
Zone_19,34.23,54.1,34.72,42.92,101.09,6.73,21.74,Clayey Soil,1.27,60.06,39.72,59.78,Urea,60.88,2.49,2.77,No,Optimal
Zone_20,24.75,66.45,59.83,68.88,101.25,6.13,153.65,Clay Soil,1.124,53.84,38.92,58.33,MOP,0.93,3.16,44.87,No,Optimal
Zone_01,30.68,44.11,33.02,59.45,101.19,6.52,77.64,Sandy Soil,0.641,40.39,42.49,20.95,Urea,96.31,1.68,2.1,No,Optimal
Zone_02,27.09,57.23,51.78,73.77,100.84,6.56,113.45,Red Soil,0.616,46.93,26.69,44.82,17-17-17,35.14,30.29,34.84,No,Optimal
Zone_03,32.62,62.83,60.68,66.92,100.97,6.25,132.8,Alluvial Soil,0.858,69.95,55.31,68.1,MOP,9.8,4.85,54.07,No,Optimal
Zone_04,26.38,68.79,65.79,69.03,101.3,6.57,109.36,Clayey Soil,1.194,64.59,38.13,64.56,None,0.0,0.0,0.0,No,Optimal
Zone_05,32.41,53.98,40.15,61.81,101.07,6.68,94.56,Loam Soil,0.848,52.67,45.7,64.56,MOP,1.21,4.58,41.17,No,Optimal
Zone_06,34.37,58.95,47.46,63.44,101.09,6.8,87.21,Loam Soil,0.798,60.44,48.02,41.97,None,0.0,0.0,0.0,No,Optimal
Zone_07,28.76,59.93,42.25,44.28,101.35,6.84,53.89,Clay Soil,0.445,42.58,42.95,64.85,MOP,5.04,4.8,40.07,No,Optimal
Zone_08,30.67,54.33,44.14,42.33,101.1,7.04,91.29,Alluvial Soil,1.308,55.04,45.64,57.39,Urea,77.07,11.71,0.98,No,Optimal
Zone_09,32.47,49.12,27.55,45.86,100.86,6.69,26.26,Loam Soil,0.777,45.7,34.58,44.17,Urea,86.01,0.08,0.37,No,Optimal
Zone_10,19.9,56.53,41.91,61.38,101.39,7.24,56.68,Alluvial Soil,1.282,48.71,58.3,60.14,Urea,60.43,11.31,7.16,No,Optimal
